,artist_name,track_name,album_name,release_date,artist_popularity,track_popularity,artist_genres,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Hit,Dance_miss,Energy_miss,Valence_miss,decade_maker,decades,Spain,variable,value
864,Leon Bridges,Beyond,Good Thing,2018-05-04,71,72,['modern blues'],6,-5.4,1,0.105,0.229,0.0,0.109,76.014,audio_features,1Omt5bfz1tZUCqd26HxbS0,spotify:track:1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/tracks/1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0,240600,4,0,1,1,1,2018,2010s,all_popular,energy,0.687
865,Sam Smith,I'm Not The Only One,In The Lonely Hour,2014-05-26,81,83,"['dance pop', 'pop', 'uk pop']",5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,82.001,audio_features,7795WJLVKJoAyVoOtCWqXN,spotify:track:7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/audio-analysis/7795WJLVKJoAyVoOtCWqXN,239317,4,0,1,1,1,2014,2010s,all_popular,energy,0.485
866,Amy Winehouse,Back To Black,Back To Black,2006-10-27,73,71,"['british soul', 'indie r&b', 'neo soul']",10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,123.28,audio_features,30FURVTCpbKyykjSEQzGkH,spotify:track:30FURVTCpbKyykjSEQzGkH,https://api.spotify.com/v1/tracks/30FURVTCpbKyykjSEQzGkH,https://api.spotify.com/v1/audio-analysis/30FURVTCpbKyykjSEQzGkH,240440,4,0,1,1,1,2006,2000s,all_popular,energy,0.725
867,Noah Cyrus,July (feat. Leon Bridges),July (feat. Leon Bridges),2019-11-08,70,72,"['dance pop', 'pop']",9,-9.603,0,0.0424,0.853,0.0,0.131,72.5,audio_features,3V0nnQhqvbE3JmiDdnzQFQ,spotify:track:3V0nnQhqvbE3JmiDdnzQFQ,https://api.spotify.com/v1/tracks/3V0nnQhqvbE3JmiDdnzQFQ,https://api.spotify.com/v1/audio-analysis/3V0nnQhqvbE3JmiDdnzQFQ,152280,4,0,0,1,1,2019,2020s,all_popular,energy,0.211
868,Coldplay,Clocks,A Rush of Blood to the Head,2002-08-08,86,80,"['permanent wave', 'pop']",5,-7.215,0,0.0279,0.599,0.0115,0.183,130.97,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4,0,1,1,1,2002,2000s,all_popular,energy,0.749
869,Corinne Bailey Rae,Put Your Records On,Corinne Bailey Rae,2006-01-01,62,77,"['british soul', 'neo mellow', 'neo soul', 'pop soul', 'r&b', 'soul']",9,-7.844,1,0.0362,0.167,1.34e-06,0.133,96.038,audio_features,2nGFzvICaeEWjIrBrL2RAx,spotify:track:2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/tracks/2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/audio-analysis/2nGFzvICaeEWjIrBrL2RAx,215360,4,0,0,1,1,2006,2000s,all_popular,energy,0.511
870,Emeli Sandé,Next To Me,Our Version Of Events (Special Edition),2012-01-01,63,62,"['dance pop', 'neo soul', 'pop', 'r&b', 'uk pop']",7,-5.121,0,0.0368,0.0932,0.000108,0.105,94.991,audio_features,3vjQt1znaFEnX3PBXsgtVc,spotify:track:3vjQt1znaFEnX3PBXsgtVc,https://api.spotify.com/v1/tracks/3vjQt1znaFEnX3PBXsgtVc,https://api.spotify.com/v1/audio-analysis/3vjQt1znaFEnX3PBXsgtVc,196747,4,0,1,0,1,2012,2010s,all_popular,energy,0.799
871,John Mayer,I Guess I Just Feel Like,Sob Rock,2021-07-16,77,70,"['neo mellow', 'singer-songwriter']",4,-9.102,1,0.0268,0.515,0.0674,0.0922,159.952,audio_features,4Im6GRj17qa7NW76OsJh1s,spotify:track:4Im6GRj17qa7NW76OsJh1s,https://api.spotify.com/v1/tracks/4Im6GRj17qa7NW76OsJh1s,https://api.spotify.com/v1/audio-analysis/4Im6GRj17qa7NW76OsJh1s,286387,4,0,1,1,1,2021,2020s,all_popular,energy,0.483
872,Milky Chance,Stolen Dance,Sadnecessary,2013-05-31,71,79,['german pop'],11,-8.813,1,0.0378,0.427,0.000206,0.0759,114.016,audio_features,34xGLuxM0rkxhCVyMSqwJO,spotify:track:34xGLuxM0rkxhCVyMSqwJO,https://api.spotify.com/v1/tracks/34xGLuxM0rkxhCVyMSqwJO,https://api.spotify.com/v1/audio-analysis/34xGLuxM0rkxhCVyMSqwJO,313684,4,0,0,1,1,2013,2010s,all_popular,energy,0.581
873,Lorde,Royals,Pure Heroine,2013-09-27,75,78,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'uk pop']",7,-9.504,1,0.122,0.121,0.0,0.132,84.878,audio_features,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,190185,4,0,1,1,1,2013,2010s,all_popular,energy,0.428
