artist_name,track_name,track_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,time_signature
Chayanne,Salomé,58,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",0.773,0.813,11,-6.185,0,0.155,0.00335,0.000103,0.0551,0.757,128.004,https://api.spotify.com/v1/tracks/4dtlsMh8wam865qaU4WEnM,253133,4
Carlos Vives,La Bicicleta,73,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']",0.745,0.944,0,-3.959,1,0.134,0.21,1.45e-06,0.333,0.951,179.991,https://api.spotify.com/v1/tracks/0Gx4VrHzS7pZOEAGrmXXBH,229510,4
Lorna,Papi Chulo... Te Traigo El Mmmm - Radio Version,57,"['latin', 'perreo', 'reggaeton']",0.851,0.797,1,-8.4,1,0.103,0.00461,6.16e-06,0.292,0.676,109.984,https://api.spotify.com/v1/tracks/6PRv5QDR843SgVpk4IqEit,180467,4
Shakira,La Tortura (feat. Alejandro Sanz),74,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,https://api.spotify.com/v1/tracks/5BSclXJTa9B0iURhUjZo50,212893,4
Elvis Crespo,Suavemente,65,"['latin', 'latin pop', 'tropical']",0.814,0.874,8,-3.18,1,0.071,0.234,0.00162,0.0476,0.911,124.052,https://api.spotify.com/v1/tracks/7JIjUx3GsL0upxmNJacmtz,267160,4
Lorca,Ritmo De La Noche - Radio Version,43,[],0.585,0.843,2,-12.877,1,0.0417,0.0337,4.7e-05,0.253,0.879,122.489,https://api.spotify.com/v1/tracks/3iJtnOzdEmkVLgaPUPT4b8,228333,4
Sonia Y Selena,Yo Quiero Bailar,56,['spanish pop'],0.628,0.948,11,-5.982,1,0.0828,0.161,0.000166,0.316,0.909,133.952,https://api.spotify.com/v1/tracks/4rFCPjKfgbEeNvs1Ku4nbd,213067,4
Luis Fonsi,Despacito,80,"['latin', 'latin pop', 'puerto rican pop']",0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,229360,4
Los Del Rio,Macarena,62,['tropical'],0.739,0.888,8,-7.16,0,0.0576,0.199,0.0,0.0704,0.955,103.186,https://api.spotify.com/v1/tracks/6mhw2fEPH4fMF0wolNm96e,222627,4
King Africa,La Bomba,63,[],0.895,0.92,1,-5.18,1,0.187,0.0852,0.0,0.16,0.891,99.998,https://api.spotify.com/v1/tracks/5UmGJS0jd1r52OjnNvVHvU,199107,4
Proyecto Uno,Tiburon,56,"['latin', 'latin house', 'tropical']",0.868,0.852,0,-9.403,1,0.0474,0.198,5.3e-05,0.0502,0.907,130.155,https://api.spotify.com/v1/tracks/26T9IOS6Bi9iOUjKkcZsZo,302333,4
Carlos Baute,Colgando en tus manos (con Marta Sánchez),77,"['latin', 'latin pop', 'spanish pop']",0.836,0.637,6,-4.803,1,0.0367,0.535,0.0,0.129,0.875,120.025,https://api.spotify.com/v1/tracks/3UI9I3e1g1y5T3SMfdgfGO,230280,4
Gente De Zona,La Gozadera (feat. Marc Anthony),74,"['cubaton', 'latin', 'latin hip hop', 'latin pop']",0.616,0.989,9,-1.698,0,0.0483,0.166,0.0,0.172,0.902,95.036,https://api.spotify.com/v1/tracks/0OMRAvrtLWE2TvcXorRiB9,203160,4
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),80,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,202627,4
Los Cantantes,El Venao,58,['tropical'],0.841,0.88,11,-11.386,1,0.0684,0.213,0.000905,0.0501,0.875,131.55,https://api.spotify.com/v1/tracks/66y4liRr8Orq45N0I6VRAP,292800,4
Las Ketchup,The Ketchup Song (Aserejé) - Spanish Version,61,[],0.602,0.947,1,-5.642,1,0.115,0.00842,6.41e-05,0.123,0.883,184.976,https://api.spotify.com/v1/tracks/6NG2IIXZfC5Notpz0GIODU,213000,4
Enrique Iglesias,Bailando - Spanish Version,41,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,https://api.spotify.com/v1/tracks/0OozoN53XvHPASSHHkPGhR,243387,4
Don Omar,Danza Kuduro,75,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']",0.699,0.917,0,-4.897,1,0.115,0.078,0.0,0.065,0.889,130.04,https://api.spotify.com/v1/tracks/6DXLO8LndZMVOHM0wNbpzg,198787,4
