trait,bottom,top
danceability,0.7039698202497134,0.7782801797502868
energy,0.7857965930750119,0.8739534069249884
loudness,-7.537688602145791,-5.4469988978542085
liveness,0.10234675332979039,0.22214699667020965
valence,0.7868164499439664,0.8787460500560335
tempo,118.13281907556507,134.81486842443496
